;Time;E;S;ES;P
186;16.495752858801996;110;472;0;38
187;16.945981038171443;109;471;1;38
188;16.957162697970727;110;472;0;38
189;17.318775730376196;109;471;1;38
190;17.374242323523;108;470;2;38
191;17.581648714405063;107;469;3;38
192;17.651724993713728;106;468;4;38
193;17.654721725388338;107;469;3;38
194;17.67921407019703;108;470;2;38
195;17.892296580712493;107;469;3;38
196;17.95905311147743;106;468;4;38
197;17.966669272681745;107;469;3;38
198;17.97657628323098;108;470;2;38
199;17.977100109525022;109;471;1;38
200;18.101829588618845;108;470;2;38
201;18.190092875345556;107;469;3;38
202;18.211316893233324;108;470;2;38
203;18.265620890023115;109;470;1;39
204;18.38076776850699;110;470;0;40
205;18.58559988726692;109;469;1;40
206;18.58822957695781;108;468;2;40
207;18.592578220222507;109;469;1;40
208;18.595878083891773;110;470;0;40
209;18.824396480993595;109;469;1;40
210;18.8282824108806;108;468;2;40
211;18.891435385836818;109;469;1;40
212;18.934211861548654;108;468;2;40
213;19.21817755662821;109;468;1;41
214;19.223565849111814;108;467;2;41
215;19.269928865854013;109;467;1;42
216;19.27233039234362;110;468;0;42
217;19.356902297009288;109;467;1;42
218;19.509644003814213;110;468;0;42
219;19.894760015344815;109;467;1;42
220;19.907416593960463;108;466;2;42
221;19.90959693708113;109;467;1;42
222;19.91720371947528;108;466;2;42
223;19.96512525772229;107;465;3;42
224;19.98945681287563;106;464;4;42
225;20.00071967003956;107;465;3;42
226;20.06313336138059;108;465;2;43
227;20.122067806259913;109;466;1;43
228;20.229121175220957;108;465;2;43
229;20.314896910881465;109;466;1;43
230;20.34516599607014;110;466;0;44
231;20.39170411482268;109;465;1;44
232;20.528056024433777;110;466;0;44
233;20.779161274349654;109;465;1;44
234;20.814053246609756;108;464;2;44
235;20.901430638563603;109;465;1;44
236;21.02263686438691;108;464;2;44
237;21.02575936470315;107;463;3;44
238;21.02836705919033;108;464;2;44
239;21.100851365265342;107;463;3;44
240;21.241237464085046;108;463;2;45
241;21.522527068776014;109;463;1;46
242;21.66215410485908;108;462;2;46
243;21.774123553693123;107;461;3;46
244;21.832685374629598;108;462;2;46
245;21.960830991208873;109;463;1;46
246;22.058121919686823;108;462;2;46
247;22.13195918756048;109;462;1;47
