;Time;E;S;ES;P
250;22.991461637717222;110;490;0;20
251;23.317669185183302;109;489;1;20
252;23.342209976684;108;488;2;20
253;23.405601222405572;109;489;1;20
254;23.439660991471413;108;488;2;20
255;23.53527007985877;107;487;3;20
256;23.682436721370355;108;488;2;20
257;23.967501500921927;109;489;1;20
258;24.144620084134516;110;490;0;20
259;24.279892466978033;109;489;1;20
260;24.308799644236842;108;488;2;20
261;24.635142480884547;107;487;3;20
262;24.705924612797812;106;486;4;20
263;24.713652968040094;107;487;3;20
264;24.718746473993768;108;488;2;20
265;24.824758000235015;109;489;1;20
266;25.09021520651399;108;488;2;20
267;25.122429930757267;107;487;3;20
268;25.147011501950974;108;488;2;20
269;25.157486992921;109;488;1;21
270;25.221354196815774;108;487;2;21
271;25.360534673161844;107;486;3;21
272;25.393349151976913;106;485;4;21
273;25.44107392897075;107;486;3;21
274;25.49200389602685;108;487;2;21
275;25.507818635057344;109;487;1;22
276;25.800744561669568;108;486;2;22
277;25.811540506920405;109;487;1;22
278;26.234992663675296;108;486;2;22
279;26.240517617791152;109;487;1;22
280;27.057393731080452;108;486;2;22
281;27.090687430850224;109;487;1;22
282;27.22790627668119;110;488;0;22
283;27.29266674323189;109;487;1;22
284;27.41918107655236;108;486;2;22
285;27.431838189253195;109;487;1;22
286;27.48971728911168;110;487;0;23
287;27.513162268205324;109;486;1;23
288;27.60324360335942;110;487;0;23
289;28.18795355412269;109;486;1;23
290;28.198056741292568;108;485;2;23
291;28.27949216006667;107;484;3;23
292;28.49289870109744;106;483;4;23
293;28.512196473032557;107;484;3;23
294;28.648396216594946;108;485;2;23
295;28.793645275834177;109;485;1;24
296;28.983658215852696;108;484;2;24
297;29.053209895606475;107;483;3;24
298;29.198328548932178;106;482;4;24
299;29.24416757772582;105;481;5;24
300;29.2466687998672;106;482;4;24
301;29.288026864245932;107;482;3;25
302;29.346287454010533;106;481;4;25
303;29.355803430460494;105;480;5;25
304;29.44250641662453;106;481;4;25
305;29.582701770608047;107;482;3;25
306;29.634660031381273;106;481;4;25
307;29.64900346989634;105;480;5;25
308;29.6608739505158;106;481;4;25
309;29.680794626093327;107;482;3;25
310;29.715093307185338;108;482;2;26
311;29.741399817230995;107;481;3;26
312;29.767886538645122;108;482;2;26
313;29.947945106022217;109;483;1;26
314;29.96596552661183;108;482;2;26
315;30.009107585604315;107;481;3;26
316;30.020296412629254;108;481;2;27
317;30.06239162137632;107;480;3;27
318;30.09682184934836;108;481;2;27
319;30.394778999354617;109;482;1;27
320;30.838108398571585;110;482;0;28
321;30.94021459635842;109;481;1;28
322;30.96101401477246;108;480;2;28
323;30.97965674437292;107;479;3;28
324;30.983501200574715;106;478;4;28
325;31.071558939658896;107;479;3;28
326;31.08621616681939;106;478;4;28
327;31.147098130399716;105;477;5;28
328;31.187725800854793;106;478;4;28
329;31.28359929151374;107;479;3;28
330;31.434065207242437;106;478;4;28
331;31.44649066014803;107;478;3;29
332;31.448981614654173;108;479;2;29
333;31.46461501904371;107;478;3;29
334;31.67100470530305;108;479;2;29
335;31.702797504070556;109;480;1;29
336;31.897362063441285;108;479;2;29
337;32.13043486241279;109;479;1;30
338;32.1341732343731;108;478;2;30
339;32.381501540559604;107;477;3;30
340;32.42829768879691;108;477;2;31
341;32.43561951091805;107;476;3;31
342;32.492364520302026;106;475;4;31
343;32.49915726720134;107;476;3;31
344;32.54330669834295;106;475;4;31
345;32.5913818722457;107;476;3;31
346;32.62839193411183;106;475;4;31
347;32.651784678132714;105;474;5;31
348;32.68906547414111;106;475;4;31
349;32.8174607608432;107;476;3;31
350;32.84354856881021;108;477;2;31
351;32.84814026918844;107;476;3;31
352;32.917742508491564;108;476;2;32
353;32.94900415055433;107;475;3;32
